"Ref_ID"	"Annotations"	"Pel_0h_head1"	"Pel_0h_head2"	"Pel_0h_tail1"	"Pel_0h_tail2"	"Pel_4h_head1"	"Pel_4h_head2"	"Pel_4h_tail1"	"Pel_4h_tail2"	"Pel_12h_head1"	"Pel_12h_head2"	"Pel_12h_tail1"	"Pel_12h_tail2"	"Pel_24h_head1"	"Pel_24h_head2"	"Pel_24h_tail1"	"Pel_24h_tail2"	"Pel_48h_head1"	"Pel_48h_head2"	"Pel_48h_tail1"	"Pel_48h_tail2"	"Pel_96h_head1"	"Pel_96h_head2"	"Pel_96h_tail1"	"Pel_96h_tail2"
"Pele_ref_seq_1498"	"Pele-Wnt2"	0.139422	0.688547	0.242508	0.410865	1.643281	1.2872	0.785948	1.157931	2.319385	4.769803	1.240131	2.750265	2.810096	3.635543	1.747404	1.700941	1.941176	2.082256	2.320842	2.257018	3.042392	2.606953	4.370792	7.006015
"Pele_ref_seq_23466"	"Pele-Wnt9"	0	0	0	0	0	0.079038	0	0	0	0.26991	0.243737	0	0	2.043334	0.985592	0.151294	1.886133	1.302412	0	0.05388	3.264492	4.311942	0	0
"Pele_ref_seq_25888"	"Pele-Wnt16"	6.815564	7.110834	6.176021	5.224436	4.678952	4.387692	3.439051	3.331026	6.041189	6.536264	4.470387	6.149109	12.13852	10.20723	9.735594	11.11623	16.5833	22.85829	26.75792	27.30942	25.6854	27.15683	27.56674	30.20447
"Pele_ref_seq_26281"	"Pele-Wnt5"	1.87673	3.652111	1.649948	4.727707	1.914531	1.688349	2.034529	1.569171	3.176739	6.947062	6.823703	10.27973	23.43548	8.513935	4.291755	27.65643	7.172433	8.207519	38.13343	24.81117	14.38262	17.89776	19.6939	40.47407
"Pele_ref_seq_2858"	"Pele-Wnt6"	1.409835	2.321702	0.785005	1.198279	0.361586	1.19957	0.337701	1.270705	0.820879	7.154378	1.062867	4.752637	1.686996	4.666222	6.44687	1.573147	3.661723	1.763574	0.92699	2.149492	6.97333	6.324227	1.647579	4.715691
"Pele_ref_seq_35094"	"Pele-Wnt11"	5.041341	5.894154	6.600043	5.810103	2.388431	2.610242	3.550906	3.064395	5.175317	5.21214	5.615791	3.703131	12.29675	10.07326	8.742667	9.594607	13.61868	14.87445	17.3824	14.53551	19.04168	19.53859	21.37552	22.58557
"Pele_ref_seq_36486"	"Pele-WntA"	5.075801	10.07987	4.24221	7.956965	8.83355	6.543584	6.629724	6.661454	3.730777	5.812037	4.906586	5.055041	6.491682	7.889363	5.752213	8.407432	10.26159	14.09219	6.159869	6.794103	19.64788	21.4921	11.24136	18.22709
"Pele_ref_seq_42752"	"Pele-Wnt1"	1.430089	2.972505	1.470274	2.332166	2.061889	1.805766	0.540824	1.38207	2.414407	2.760561	1.361717	1.959914	1.98239	2.331407	1.696117	2.447062	4.244124	4.053364	3.157957	3.095424	4.862021	5.316537	3.350715	4.366201
"Pele_ref_seq_49129"	"Pele-Wnt4"	0.944566	1.551399	0.951989	2.362531	1.164579	1.974102	0.297234	0.69816	3.752468	10.13134	3.374716	5.321703	4.1407	8.33841	3.5828	7.362936	3.432648	5.303245	5.135305	5.346556	7.13616	6.202812	2.409193	5.908235
"Pele_ref_seq_164"	"Pele-Post2"	1.319522	4.208309	1.867562	4.801159	37.74753	28.26417	12.39016	6.04639	13.57451	31.2568	4.784144	9.213869	2.772068	23.97128	13.85379	4.285575	17.69915	17.11916	2.307842	1.255437	29.80441	40.06928	1.032736	1.24007
"Pele_ref_seq_4104"	"Pele-Caudal"	0.158965	0.240625	0.071018	0.290992	9.474422	8.389794	1.709401	0.354475	1.417192	10.05797	0.375819	0.90335	0.325565	6.78231	3.756648	0.402054	3.108746	3.50152	0.070379	0.13568	6.719674	13.51146	0.260604	0.214035
"Pele_ref_seq_37553"	"Pele-Shisa"	2.938726	5.914081	1.645445	3.230303	6.011203	6.694996	2.45757	4.236244	3.547187	13.33877	4.081562	10.25455	3.038709	4.576557	1.414214	8.189304	3.578048	4.475163	3.453517	3.145763	6.323603	6.150493	1.238719	3.274109
